Rank,latitude,longitude,heat_score,vulnerability_score,priority_score,est_temp_drop_C,GEOID
18,35.06811657551713,-106.5110316459349,0.7942181052492152,0.7258051983125471,0.7531703610872144,3.2,35001000713
19,35.08493940432742,-106.68548035760153,0.8685919793552479,0.6746984054112294,0.7522558349888369,3.5,35001002302
20,35.13125268464178,-106.60410337942673,0.8681675000157567,0.6682437532477805,0.748213251954971,3.5,35001003733
21,35.07199855387502,-106.5707025908142,0.8610412922909954,0.6718037787363682,0.747498784158219,3.4,35001000904
22,35.061773789137675,-106.50902818565928,0.7772205116021558,0.7258051983125471,0.7463713236283905,3.1,35001000713
23,35.016833383514246,-106.75131932037465,0.9451371419849649,0.6120854704282183,0.7453061390509169,3.8,35001004715
24,35.136704971644455,-106.59181260054865,0.8598131373471258,0.6682437532477805,0.7448715068875187,3.4,35001003733
25,35.115172636695895,-106.60362957570216,0.8702682890410625,0.6590773027705664,0.7435536972787649,3.5,35001000208
26,35.06327165138816,-106.50689882745738,0.76489022789535,0.7258051983125471,0.7414392101456683,3.1,35001000713
27,35.121872076618594,-106.63951897203769,0.8656748425694905,0.6583034522117941,0.7412520083548726,3.5,35001003202
28,35.07564082751056,-106.56169662464117,0.8572790922884673,0.6622499864263335,0.740261628771187,3.4,35001000605
29,35.12176398974712,-106.63006343092891,0.8630757278533883,0.6583034522117941,0.7402123624684318,3.5,35001003202
30,35.08896201179902,-106.65141014200728,0.8493768011041714,0.6661933242048759,0.739466714964594,3.4,35001002100
31,35.08309618955872,-106.64660031576976,0.8490962800283448,0.6661933242048759,0.7393545065342635,3.4,35001002100
32,35.11375264428802,-106.60618807601203,0.8917752405418954,0.6375825708860063,0.739259638748362,3.6,35001003400
33,35.07999331346671,-106.67594779840718,0.8360246441265093,0.6746984054112294,0.7392289008973414,3.3,35001002302
34,34.964801207445134,-106.72133141402615,0.925757362471747,0.6120854704282183,0.7375542272456297,3.7,35001004715
35,35.07784987068827,-106.56132789813516,0.8465342281917576,0.6622499864263335,0.7359636831325032,3.4,35001000605
36,35.13671778420703,-106.58792154027202,0.835645919949077,0.6682437532477805,0.7352046199282991,3.3,35001003733
37,35.10081358787035,-106.56336777731632,0.7605809775165553,0.7179150175819577,0.7349814015557967,3.0,35001000124
38,35.20241215185676,-106.68157821702641,0.8805884079084811,0.6370353911117694,0.7344565978304541,3.5,35001004720
39,35.07746705933428,-106.69786563305252,0.8892130684171065,0.6308369046323972,0.7341873701462809,3.6,35001002404
40,35.07506983049924,-106.57086108012166,0.8391870369590502,0.6622499864263335,0.7330248066394202,3.4,35001000605
41,35.15756888424098,-106.57684813744557,0.81355994704821,0.6792781960021466,0.732990896420572,3.3,35001003725
42,35.09000137785548,-106.65118628038023,0.8300728324105933,0.6661933242048759,0.7317451274871628,3.3,35001002100
43,35.07029737498925,-106.58119397015635,0.8190526797804425,0.6731957873475528,0.7315385443207088,3.3,35001000905
44,35.12899356501875,-106.63656140154511,0.8409399272346986,0.6583034522117941,0.7313580422209559,3.4,35001003202
45,35.072899972269596,-106.54136193648745,0.8616271694565257,0.6442762582011903,0.7312166227033245,3.4,35001000715
46,35.116019952253644,-106.61625256905158,0.8715328556978073,0.6375825708860063,0.7311626848107267,3.5,35001003400
47,35.075607337672416,-106.55170501227687,0.8320961684497832,0.6635521982991147,0.730969786359382,3.3,35001000603
48,35.10814978950182,-106.62070428249619,0.8694698102539633,0.6375825708860063,0.7303374666331891,3.5,35001003400
49,35.024302508629255,-106.72361613553873,0.9069538011615749,0.6120854704282183,0.7300328027215609,3.6,35001004715
50,35.06766006944263,-106.53262274785767,0.8584934161333336,0.6442762582011903,0.7299631213740476,3.4,35001000715
51,35.13718409824955,-106.58967205364088,0.8221796174452287,0.6682437532477805,0.7298180989267598,3.3,35001003733
52,35.07632713313325,-106.55378343645897,0.8280990670891493,0.6635521982991147,0.7293709458151285,3.3,35001000603
53,35.115835416085666,-106.60839485782266,0.8664547985920354,0.6375825708860063,0.7291314619684179,3.5,35001003400
54,35.11236796099004,-106.62227147724619,0.8650803479213216,0.6375825708860063,0.7285816817001325,3.5,35001003400
55,35.140851153470685,-106.62123807701718,0.8595830225628753,0.6405556144616426,0.7281665777021357,3.4,35001003745
56,35.083020139899524,-106.65608815397006,0.8182052441024323,0.6661933242048759,0.7269980921638984,3.3,35001002100
57,35.055439684707025,-106.56991117367241,0.80930025453557,0.6718037787363682,0.7268023690560489,3.2,35001000904
